186|280|1380|firefox|1
392|341|1380|firefox|1
390|350|1380|firefox|1
191|345|1380|firefox|1
289|574|1380|firefox|1
289|526|1380|firefox|1
269|540|1380|firefox|1
67|857|1380|firefox|1
74|854|1380|firefox|1
65|855|1380|firefox|1
68|853|1380|firefox|1
659|858|1380|firefox|1
660|857|1380|firefox|1
196|579|1380|firefox|1
225|877|1380|firefox|1
74|856|1380|firefox|1
69|825|1380|firefox|1
73|800|1380|firefox|1
69|745|1380|firefox|1
653|647|1380|firefox|1
653|605|1380|firefox|1
688|930|1380|firefox|1
159|286|1380|firefox|1
503|29|1380|firefox|1
